# Funções extraídas de libfs18.so
# Endereço           | Nome Original                            | Nome Demangled
----------------------------------------------------------------------------------------------------
000000000038d9a8   | _ZNKSt6__ndk110moneypunctIcLb1EE13do_pos_formatEv | std::__ndk1::moneypunct<char, true>::do_pos_format() const
000000000038d9d4   | _ZNKSt6__ndk110moneypunctIwLb0EE16do_thousands_sepEv | std::__ndk1::moneypunct<wchar_t, false>::do_thousands_sep() const
000000000030fbe4   | _ZN15RandomGenerator7getSeedEv           | RandomGenerator::getSeed()
0000000000256150   | _ZN22GameStateIngameOptions12onStateStartEN10IGameState10eGameStateE | GameStateIngameOptions::onStateStart(IGameState::eGameState)
0000000000255200   | _ZN24GameStateDifficultyLevel14doDialogUpdateEf | GameStateDifficultyLevel::doDialogUpdate(float)
0000000000282050   | _ZN27AndroidHandheldSystemDevice10memoryTestEv | AndroidHandheldSystemDevice::memoryTest()
000000000028ef94   | _ZN3Cki10DecoderBufD2Ev                  | Cki::DecoderBuf::~DecoderBuf()
000000000034af50   | png_safe_error                           | png_safe_error
000000000037c3d4   | _ZNSt16nested_exceptionD1Ev              | std::nested_exception::~nested_exception()
00000000003a0f78   | _ZNKSt6__ndk115__codecvt_utf16IDsLb0EE6do_outER9mbstate_tPKDsS5_RS5_PcS7_RS7_ | std::__ndk1::__codecvt_utf16<char16_t, false>::do_out(mbstate_t&, char16_t const*, char16_t const*, char16_t const*&, char*, char*, char*&) const
0000000000282af8   | _ZN27AndroidHandheldSystemDevice15languageAllowedEN24HandheldSystemDeviceBase8LANGUAGEE | AndroidHandheldSystemDevice::languageAllowed(HandheldSystemDeviceBase::LANGUAGE)
000000000026c2b0   | _ZN22b2EdgeAndCircleContact6CreateEP9b2FixtureiS1_iP16b2BlockAllocator | b2EdgeAndCircleContact::Create(b2Fixture*, int, b2Fixture*, int, b2BlockAllocator*)
00000000002e5038   | _ZN11MinimapPane15getPOIIconScaleEff     | MinimapPane::getPOIIconScale(float, float)
000000000035ecc0   | png_set_compression_strategy             | png_set_compression_strategy
